Date,Open,High,Low,Close,Adj Close,Volume
1985-09-01,1.613281,1.617188,1.480469,1.492188,0.705399,88809600
1985-10-01,1.492188,1.734375,1.488281,1.656250,0.782956,102467200
1985-11-01,1.648438,1.882813,1.632813,1.851563,0.875286,103427200
1985-12-01,1.843750,2.156250,1.843750,1.992188,0.941763,137267200
1986-01-01,1.992188,2.078125,1.820313,2.007813,0.967156,122196800
1986-02-01,2.007813,2.140625,1.875000,2.125000,1.023605,169907200
1986-03-01,2.140625,2.562500,2.125000,2.460938,1.185425,161064000
1986-04-01,2.445313,2.679688,2.250000,2.531250,1.240801,113136000
1986-05-01,2.507813,3.109375,2.437500,2.992188,1.466751,163592000
1986-06-01,2.976563,3.273438,2.937500,3.242188,1.589298,139720000
1986-07-01,3.296875,3.546875,2.695313,2.906250,1.445008,185680000
1986-08-01,2.890625,2.976563,2.726563,2.937500,1.460546,125603200
1986-09-01,2.937500,2.953125,2.445313,2.625000,1.325528,170075200
1986-10-01,2.671875,2.882813,2.625000,2.804688,1.416264,95889600
1986-11-01,2.804688,2.984375,2.710938,2.976563,1.503055,105420800
1986-12-01,2.976563,3.093750,2.804688,2.906250,1.467549,135828800
1987-01-01,2.929688,3.320313,2.914063,3.031250,1.552628,180057600
1987-02-01,3.031250,3.460938,3.023438,3.421875,1.752709,118136000
1987-03-01,3.468750,3.773438,3.445313,3.593750,1.840743,153848000
1987-04-01,3.531250,3.710938,3.289063,3.539063,1.844419,156960000
1987-05-01,3.515625,3.671875,3.320313,3.656250,1.905493,135486400
1987-06-01,3.671875,4.367188,3.609375,4.226563,2.202718,173796800
1987-07-01,4.203125,4.734375,4.117188,4.656250,2.464182,172352000
1987-08-01,4.625000,5.359375,4.593750,5.062500,2.679178,177576800
1987-09-01,5.078125,5.125000,4.281250,4.734375,2.520478,168880800
1987-10-01,4.765625,4.859375,2.750000,3.453125,1.838370,292547200
1987-11-01,3.421875,3.703125,2.843750,3.000000,1.597135,162136800
1987-12-01,3.000000,3.390625,2.500000,3.250000,1.730229,206486400
1988-01-01,3.265625,3.578125,3.031250,3.421875,1.842452,119509600
1988-02-01,3.468750,3.671875,3.140625,3.671875,1.977061,111688000
1988-03-01,3.687500,3.843750,3.421875,3.515625,1.892931,126233600
1988-04-01,3.484375,3.750000,3.375000,3.468750,1.887828,87368000
1988-05-01,3.468750,3.562500,3.234375,3.531250,1.921844,90969600
